barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491511158_1_3,114245786,600,5,12098,SG in midinferior temporal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059867
252491511256_2_3,147803036,600,5,13362,laterodorsal subdivision of area 8,,H376.IIIA.02,/api/v2/well_known_file_download/147815464
252491511277_1_3,147803588,600,5,127407354,outer CP in lateral temporal-occipital cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815700
252491511079_2_1,127366719,600,5,113221580,VZ in posterosuperior (dorsal) parietal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206075
252491511451_2_2,156438179,600,5,127434406,IZ in caudal midinferior temporal cortex (area TF),,H376.IIIB.02,/api/v2/well_known_file_download/156887147
252491511204_1_2,147805438,600,5,127402576,IZ in midlateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817431
252491511276_2_2,147803516,600,5,127404176,outer SZ in dorsomedial extrastriate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815690
252491511059_1_1,127365478,600,5,12800,stratum lacunosum-moleculare of rostral CA1,,H376.IV.02,/api/v2/well_known_file_download/149203496
252491511161_2_3,121063830,600,5,12906,SP in dorsomedial parietal cortex (area 7m),,H376.IV.02,/api/v2/well_known_file_download/149124259
252491511056_1_2,121081112,600,5,113220624,outer CP in midinferior temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195930
252491511197_1_3,147805330,600,5,127401256,MZ in superolateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817385
252491510959_2_2,146037052,600,5,12897,inner CP in posterior parahippocampal cortex,,H376.IV.02,/api/v2/well_known_file_download/146038918
252491510960_2_1,146037046,600,5,12897,inner CP in posterior parahippocampal cortex,,H376.IV.02,/api/v2/well_known_file_download/146038932
252491511258_1_1,147803850,600,5,127408524,lateral habenular nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147815484
